timestamp,ip_src,ip_dst,ip_proto,packet_count,label,reason
1769184640.941746,10.0.0.1,10.0.0.2,6,46559,Warning,Elevated Traffic (856 pps)
1769184641.954447,10.0.0.2,10.0.0.1,6,71515,Warning,Elevated Traffic (852 pps)
1769184641.957259,10.0.0.1,10.0.0.2,6,47425,Warning,Elevated Traffic (852 pps)
1769184642.959927,10.0.0.2,10.0.0.1,6,72399,Warning,Elevated Traffic (879 pps)
1769184642.962314,10.0.0.1,10.0.0.2,6,48309,Warning,Elevated Traffic (879 pps)
1769184643.963607,10.0.0.2,10.0.0.1,6,73276,Warning,Elevated Traffic (873 pps)
1769184643.966054,10.0.0.1,10.0.0.2,6,49186,Warning,Elevated Traffic (873 pps)
1769184644.982104,10.0.0.2,10.0.0.1,6,74156,Warning,Elevated Traffic (863 pps)
1769184644.985029,10.0.0.1,10.0.0.2,6,50066,Warning,Elevated Traffic (863 pps)
1769184645.988322,10.0.0.2,10.0.0.1,6,75039,Warning,Elevated Traffic (878 pps)
1769184645.990616,10.0.0.1,10.0.0.2,6,50949,Warning,Elevated Traffic (878 pps)
1769184647.002616,10.0.0.2,10.0.0.1,6,75926,Warning,Elevated Traffic (874 pps)
1769184647.005594,10.0.0.1,10.0.0.2,6,51836,Warning,Elevated Traffic (874 pps)
1769184648.005999,10.0.0.2,10.0.0.1,6,76797,Warning,Elevated Traffic (867 pps)
1769184648.008758,10.0.0.1,10.0.0.2,6,52707,Warning,Elevated Traffic (867 pps)
1769184649.021823,10.0.0.2,10.0.0.1,6,77678,Warning,Elevated Traffic (867 pps)
1769184649.024259,10.0.0.1,10.0.0.2,6,53588,Warning,Elevated Traffic (867 pps)
1769184650.027663,10.0.0.2,10.0.0.1,6,78565,Warning,Elevated Traffic (881 pps)
1769184650.030205,10.0.0.1,10.0.0.2,6,54475,Warning,Elevated Traffic (881 pps)
1769184651.044299,10.0.0.2,10.0.0.1,6,79442,Warning,Elevated Traffic (862 pps)
1769184651.046605,10.0.0.1,10.0.0.2,6,55352,Warning,Elevated Traffic (862 pps)
1769184652.04386,10.0.0.2,10.0.0.1,6,80328,Warning,Elevated Traffic (886 pps)
1769184652.047142,10.0.0.1,10.0.0.2,6,56238,Warning,Elevated Traffic (886 pps)
1769184653.047268,10.0.0.2,10.0.0.1,6,81214,Warning,Elevated Traffic (883 pps)
1769184653.049992,10.0.0.1,10.0.0.2,6,57125,Warning,Elevated Traffic (884 pps)
1769184654.103664,10.0.0.2,10.0.0.1,6,82107,Warning,Elevated Traffic (845 pps)
1769184654.105892,10.0.0.1,10.0.0.2,6,58017,Warning,Elevated Traffic (844 pps)
1769184655.06821,10.0.0.2,10.0.0.1,6,82987,Warning,Elevated Traffic (912 pps)
1769184655.070438,10.0.0.1,10.0.0.2,6,58897,Warning,Elevated Traffic (912 pps)
1769184656.07014,10.0.0.2,10.0.0.1,6,83860,Warning,Elevated Traffic (871 pps)
1769184656.072701,10.0.0.1,10.0.0.2,6,59770,Warning,Elevated Traffic (871 pps)
1769184657.088562,10.0.0.2,10.0.0.1,6,84735,Warning,Elevated Traffic (859 pps)
1769184657.090802,10.0.0.1,10.0.0.2,6,60645,Warning,Elevated Traffic (859 pps)
1769184658.150564,10.0.0.2,10.0.0.1,6,85616,Warning,Elevated Traffic (829 pps)
1769184658.152819,10.0.0.1,10.0.0.2,6,61526,Warning,Elevated Traffic (829 pps)
1769184659.112254,10.0.0.2,10.0.0.1,6,86494,Warning,Elevated Traffic (913 pps)
1769184659.114544,10.0.0.1,10.0.0.2,6,62404,Warning,Elevated Traffic (913 pps)
1769184660.136017,10.0.0.2,10.0.0.1,6,87382,Warning,Elevated Traffic (867 pps)
1769184660.13914,10.0.0.1,10.0.0.2,6,63292,Warning,Elevated Traffic (867 pps)
1769184661.14754,10.0.0.2,10.0.0.1,6,88260,Warning,Elevated Traffic (866 pps)
1769184661.150106,10.0.0.1,10.0.0.2,6,64170,Warning,Elevated Traffic (866 pps)
1769184662.214993,10.0.0.2,10.0.0.1,6,89145,Warning,Elevated Traffic (829 pps)
1769184662.217273,10.0.0.1,10.0.0.2,6,65055,Warning,Elevated Traffic (829 pps)
1769184663.166878,10.0.0.2,10.0.0.1,6,90032,Warning,Elevated Traffic (931 pps)
1769184663.169683,10.0.0.1,10.0.0.2,6,65942,Warning,Elevated Traffic (931 pps)
1769184664.185683,10.0.0.2,10.0.0.1,6,90910,Warning,Elevated Traffic (861 pps)
1769184664.188285,10.0.0.1,10.0.0.2,6,66820,Warning,Elevated Traffic (861 pps)
1769184665.199267,10.0.0.2,10.0.0.1,6,92215,Warning,Elevated Traffic (1288 pps)
1769184665.202092,10.0.0.1,10.0.0.2,6,68125,Warning,Elevated Traffic (1288 pps)
1769184666.214294,10.0.0.2,10.0.0.1,6,93102,Warning,Elevated Traffic (873 pps)
1769184666.216932,10.0.0.1,10.0.0.2,6,69012,Warning,Elevated Traffic (873 pps)
1769184667.220685,10.0.0.2,10.0.0.1,6,93976,Warning,Elevated Traffic (870 pps)
1769184667.223843,10.0.0.1,10.0.0.2,6,69886,Warning,Elevated Traffic (870 pps)
1769184668.234256,10.0.0.2,10.0.0.1,6,94855,Warning,Elevated Traffic (865 pps)
1769184668.237181,10.0.0.1,10.0.0.2,6,70765,Warning,Elevated Traffic (865 pps)
1769184669.253158,10.0.0.2,10.0.0.1,6,95725,Warning,Elevated Traffic (855 pps)
1769184669.255689,10.0.0.1,10.0.0.2,6,71635,Warning,Elevated Traffic (855 pps)
1769184670.268258,10.0.0.2,10.0.0.1,6,96604,Warning,Elevated Traffic (865 pps)
1769184670.270973,10.0.0.1,10.0.0.2,6,72514,Warning,Elevated Traffic (865 pps)
1769184671.284659,10.0.0.2,10.0.0.1,6,97488,Warning,Elevated Traffic (869 pps)
1769184671.287327,10.0.0.1,10.0.0.2,6,73398,Warning,Elevated Traffic (869 pps)
1769184672.302393,10.0.0.2,10.0.0.1,6,98337,Warning,Elevated Traffic (834 pps)
1769184672.304539,10.0.0.1,10.0.0.2,6,74247,Warning,Elevated Traffic (834 pps)
1769184673.319673,10.0.0.2,10.0.0.1,6,99217,Warning,Elevated Traffic (864 pps)
1769184673.321854,10.0.0.1,10.0.0.2,6,75127,Warning,Elevated Traffic (864 pps)
1769184674.333854,10.0.0.2,10.0.0.1,6,100097,Warning,Elevated Traffic (868 pps)
1769184674.336257,10.0.0.1,10.0.0.2,6,76007,Warning,Elevated Traffic (868 pps)
1769184675.352313,10.0.0.2,10.0.0.1,6,100979,Warning,Elevated Traffic (865 pps)
1769184675.354401,10.0.0.1,10.0.0.2,6,76889,Warning,Elevated Traffic (865 pps)
1769184676.369346,10.0.0.2,10.0.0.1,6,101480,Warning,Elevated Traffic (492 pps)
1769184676.371545,10.0.0.1,10.0.0.2,6,77390,Warning,Elevated Traffic (492 pps)
