Flow ID,Source IP,Src Port,Destination IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Bwd Packet Length Max,Bwd Packet Length Min,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Label
10.0.0.11-10.0.0.2-17-0-0,10.0.0.11,0,10.0.0.2,0,17,19/01/2026 21:01:41,0.018000,102042,0,4285764,0,0,0,0,0,42857640.00,1020420.00,0,0,0,DDoS
10.0.0.11-10.0.0.2-17-0-0,10.0.0.11,0,10.0.0.2,0,17,19/01/2026 21:01:41,0.014000,530158,0,22266636,0,0,0,0,0,88344060.00,2103430.00,0,0,0,DDoS
10.0.0.11-10.0.0.2-17-0-0,10.0.0.11,0,10.0.0.2,0,17,19/01/2026 21:01:41,0.007000,310638,0,13046796,0,0,0,0,0,87610320.00,2085960.00,0,0,0,DDoS
10.0.0.11-10.0.0.2-17-0-0,10.0.0.11,0,10.0.0.2,0,17,19/01/2026 21:01:41,0.011000,740985,0,31121370,0,0,0,0,0,88547340.00,2108270.00,0,0,0,DDoS
10.0.0.11-10.0.0.2-17-0-0,10.0.0.11,0,10.0.0.2,0,17,19/01/2026 21:01:41,0.012000,521821,0,21916482,0,0,0,0,0,88696860.00,2111830.00,0,0,0,DDoS
10.0.0.11-10.0.0.2-17-0-0,10.0.0.11,0,10.0.0.2,0,17,19/01/2026 21:01:41,0.000000,922645,0,38751090,0,0,0,0,0,76297200.00,1816600.00,0,0,0,DDoS
10.0.0.11-10.0.0.2-17-0-0,10.0.0.11,0,10.0.0.2,0,17,19/01/2026 21:01:41,0.010000,733446,0,30804732,0,0,0,0,0,88882500.00,2116250.00,0,0,0,DDoS
10.0.0.11-10.0.0.2-17-0-0,10.0.0.11,0,10.0.0.2,0,17,19/01/2026 21:01:41,0.009000,923692,0,38795064,0,0,0,0,0,439740.00,10470.00,0,0,0,DDoS
10.0.0.11-10.0.0.2-17-0-0,10.0.0.11,0,10.0.0.2,0,17,19/01/2026 21:01:41,0.014000,915944,0,38469648,0,0,0,0,0,76649160.00,1824980.00,0,0,0,DDoS
10.0.0.11-10.0.0.2-17-0-0,10.0.0.11,0,10.0.0.2,0,17,19/01/2026 21:01:41,0.000000,924745,0,38839290,0,0,0,0,0,442260.00,10530.00,0,0,0,DDoS
