Timestamp,SrcIP,DstIP,Proto,PPS,AI_Prob_Normal,AI_Prob_Attack,Verdict,Action,Reason
2026-01-22 19:03:49,10.0.0.5,10.0.0.6,17,96,0.85,0.15,WARNING,ALERT,Elevated Traffic (96 pps)
2026-01-22 19:03:50,10.0.0.5,10.0.0.6,17,93,0.85,0.15,WARNING,ALERT,Elevated Traffic (92 pps)
2026-01-22 19:03:51,10.0.0.5,10.0.0.6,17,100,0.85,0.15,WARNING,ALERT,Elevated Traffic (100 pps)
2026-01-22 19:03:52,10.0.0.5,10.0.0.6,17,95,0.85,0.15,WARNING,ALERT,Elevated Traffic (95 pps)
2026-01-22 19:03:53,10.0.0.5,10.0.0.6,17,95,0.85,0.15,WARNING,ALERT,Elevated Traffic (94 pps)
2026-01-22 19:03:54,10.0.0.5,10.0.0.6,17,101,0.85,0.15,WARNING,ALERT,Elevated Traffic (101 pps)
2026-01-22 19:03:55,10.0.0.5,10.0.0.6,17,93,0.80,0.20,WARNING,ALERT,Elevated Traffic (93 pps)
2026-01-22 19:03:56,10.0.0.5,10.0.0.6,17,102,0.80,0.20,WARNING,ALERT,Elevated Traffic (101 pps)
2026-01-22 19:03:57,10.0.0.5,10.0.0.6,17,98,0.80,0.20,WARNING,ALERT,Elevated Traffic (97 pps)
2026-01-22 19:03:58,10.0.0.5,10.0.0.6,17,94,0.80,0.20,WARNING,ALERT,Elevated Traffic (93 pps)
2026-01-22 19:03:59,10.0.0.5,10.0.0.6,17,102,0.80,0.20,WARNING,ALERT,Elevated Traffic (102 pps)
2026-01-22 19:04:00,10.0.0.5,10.0.0.6,17,98,0.80,0.20,WARNING,ALERT,Elevated Traffic (98 pps)
2026-01-22 19:04:01,10.0.0.5,10.0.0.6,17,93,0.75,0.25,WARNING,ALERT,Elevated Traffic (93 pps)
2026-01-22 19:04:02,10.0.0.5,10.0.0.6,17,103,0.75,0.25,WARNING,ALERT,Elevated Traffic (102 pps)
2026-01-22 19:04:03,10.0.0.5,10.0.0.6,17,94,0.75,0.25,WARNING,ALERT,Elevated Traffic (93 pps)
2026-01-22 19:04:04,10.0.0.5,10.0.0.6,17,101,0.75,0.25,WARNING,ALERT,Elevated Traffic (101 pps)
2026-01-22 19:04:05,10.0.0.5,10.0.0.6,17,98,0.75,0.25,WARNING,ALERT,Elevated Traffic (97 pps)
